Code Back office;Description;Fabricant;Pression;Classes de feu;Maniabilité;Modèle;Charge;Gamme associée au fabricant;Code article Distributeur
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif;6 Litres;Spit;132
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif;9 Litres;Spit;137
FAB;Extincteur Portatif;65 - Eurofeu;PA;A;Portatif;Eau;6 Litres;Spit;013100
FAB;Extincteur Portatif;65 - Eurofeu;PA;A;Portatif;Eau;9 Litres;Spit;013600
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif Antigel;6 Litres;Spit;001350
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif Antigel;9 Litres;Spit;001390
FAB;Extincteur Portatif;65 - Eurofeu;PP;ABF;Portatif;Eau + Additif Ecologique;3 Litres;Spit;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABF;Portatif;Eau + Additif Ecologique;6 Litres;Spit;1340
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABF;Portatif;Eau + Additif Ecologique;9 Litres;Spit;140
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABC;Portatif;Poudre ABC;6 Kilos;Spit;112
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABC;Portatif;Poudre ABC;9 Kilos;Spit;115
FAB;Extincteur Portatif;65 - Eurofeu;PP;B;Portatif;CO2;2 Kilos;Spit;151
FAB;Extincteur Portatif;65 - Eurofeu;PP;B;Portatif;CO2;5 Kilos;Spit;154
FAB;Extincteur Portatif;65 - Eurofeu;PP;B;Portatif;CO2 (Ech. Std.) Alu;2 Kilos;Ech. Standard CO2;152
FAB;Extincteur Portatif;65 - Eurofeu;PP;B;Portatif;CO2 (Ech. Std.) Alu;5 Kilos;Ech. Standard CO2;155
FAB;Extincteur Portatif;65 - Eurofeu;PP;B;Portatif;CO2 (Ech. Std.) Acier;2 Kilos;Ech. Standard CO2;152
FAB;Extincteur Portatif;65 - Eurofeu;PP;B;Portatif;CO2 (Ech. Std.) Acier;5 Kilos;Ech. Standard CO2;155
FAB;Extincteur Portatif;65 - Eurofeu;PP;A;Portatif;Eau + Additif Lith-Ex;0,5 Litres;Lith-Ex;141
FAB;Extincteur Portatif;65 - Eurofeu;PP;A;Portatif;Eau + Additif Lith-Ex;1 Litres;Lith-Ex;142
FAB;Extincteur Portatif;65 - Eurofeu;PP;A;Portatif;Eau + Additif Lith-Ex;2 Litres;Lith-Ex;143
FAB;Extincteur Portatif;65 - Eurofeu;PP;A;Portatif;Eau + Additif Lith-Ex;6 Litres;Lith-Ex;145
FAB;Extincteur Portatif;65 - Eurofeu;PP;A;Portatif;Eau + Additif Lith-Ex;9 Litres;Lith-Ex;149
FAB;Extincteur Mobile;65 - Eurofeu;PA;A;Mobile cylindrique;Eau + Additif Lith-Ex;25 Litres;Lith-Ex;
FAB;Extincteur Mobile;65 - Eurofeu;PA;A;Mobile cylindrique;Eau + Additif Lith-Ex;50 Litres;Lith-Ex;150
FAB;Extincteur Mobile;65 - Eurofeu;PA;A;Mobile cylindrique;Eau + Additif Lith-Ex;100 Litres;Lith-Ex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;A;Portatif;Eau;6 Litres;Afrex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;A;Portatif;Eau;9 Litres;Afrex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif;6 Litres;Afrex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif;9 Litres;Afrex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif Hautes performances;6 Litres;Afrex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif Hautes performances;9 Litres;Afrex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif Antigel;6 Litres;Afrex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif Antigel;9 Litres;Afrex;
FAB;Extincteur Portatif;65 - Eurofeu;PP;ABF;Portatif;Eau + Additif Ecologique;3 Litres;Afrex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABF;Portatif;Eau + Additif Ecologique;6 Litres;Afrex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABF;Portatif;Eau + Additif Ecologique;9 Litres;Afrex;
FAB;Extincteur Portatif;65 - Eurofeu;PP;B;Portatif;CO2;2 Kilos;Afrex;
FAB;Extincteur Portatif;65 - Eurofeu;PP;B;Portatif;CO2;5 Kilos;Afrex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABC;Portatif;Poudre ABC;1 Kilos;Afrex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABC;Portatif;Poudre ABC;2 Kilos;Afrex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABC;Portatif;Poudre ABC;4 Kilos;Afrex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABC;Portatif;Poudre ABC;6 Kilos;Afrex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABC;Portatif;Poudre ABC;9 Kilos;Afrex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;A;Portatif;Eau;6 Litres;Arex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;A;Portatif;Eau;9 Litres;Arex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif;6 Litres;Arex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif;9 Litres;Arex;
FAB;Extincteur Portatif;65 - Eurofeu;PP;B;Portatif;CO2;2 Kilos;Arex;
FAB;Extincteur Portatif;65 - Eurofeu;PP;B;Portatif;CO2;5 Kilos;Arex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABC;Portatif;Poudre ABC;6 Kilos;Arex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABC;Portatif;Poudre ABC;9 Kilos;Arex;
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif;6 Litres;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif;9 Litres;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PP;AB;Portatif;Eau + Additif ;6 Litres;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PP;AB;Portatif;Eau + Additif ;9 Litres;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;A;Portatif;Eau;6 Litres;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;A;Portatif;Eau;9 Litres;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif Antigel;6 Litres;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif Antigel;9 Litres;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif Hautes performances;6 Litres;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif Hautes performances;9 Litres;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PP;ABF;Portatif;Eau + Additif Ecologique;3 Litres;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABF;Portatif;Eau + Additif Ecologique;6 Litres;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABF;Portatif;Eau + Additif Ecologique;9 Litres;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PP;AB;Portatif;Brouillard Eau;3 Litres;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PP;AB;Portatif;Brouillard Eau + Additif;3 Litres;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PP;B;Portatif;CO2;2 Kilos;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PP;B;Portatif;CO2;5 Kilos;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABC;Portatif;Poudre ABC;1 Kilos;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABC;Portatif;Poudre ABC;2 Kilos;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABC;Portatif;Poudre ABC;6 Kilos;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABC;Portatif;Poudre ABC;9 Kilos;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABC;Portatif;Poudre ABC;12 Kilos;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PP;ABC;Portatif;Poudre ABC;6 Kilos;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PP;ABC;Portatif;Poudre ABC;9 Kilos;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;BC;Portatif;Poudre BC Biex;6 Kilos;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;BC;Portatif;Poudre BC Biex;9 Kilos;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;BC;Portatif;Poudre BC Biex;12 Kilos;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;BC;Portatif;Poudre BC Granito;6 Kilos;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;BC;Portatif;Poudre BC Granito;9 Kilos;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;D;Portatif;Poudre D Feux de métaux;6 Kilos;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;D;Portatif;Poudre D Feux de métaux;9 Kilos;Eurofeu;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABF;Portatif;Eau + Additif Ecologique;6 Litres;Eurextrem;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABF;Portatif;Eau + Additif Ecologique;9 Litres;Eurextrem;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABC;Portatif;Poudre ABC;6 Kilos;Eurextrem;
FAB;Extincteur Portatif;65 - Eurofeu;PA;ABC;Portatif;Poudre ABC;9 Kilos;Eurextrem;
FAB;Extincteur Portatif;65 - Eurofeu;PA;BC;Portatif;Poudre BC;6 Kilos;Eurextrem;
FAB;Extincteur Portatif;65 - Eurofeu;PA;BC;Portatif;Poudre BC;9 Kilos;Eurextrem;
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif;6 Litres;Stark;
FAB;Extincteur Portatif;65 - Eurofeu;PA;AB;Portatif;Eau + Additif;9 Litres;Stark;
